gender,age,married,dependents,number_of_dependents,city,latitude,longitude,population,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,churn_label,ibm_spss_churn_prob,cltv,churn_category,churn_reason,new_customer
1,78,0,0,0,Los Angeles,34.02381,-118.156582,68701,0,0,1,,0,0.0,0,1,DSL,8,0,0,1,0,0,1,0,0,Month-to-Month,1,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,1,91,5433,Competitor,Competitor offered more data,0
0,74,1,1,1,Los Angeles,34.044271,-118.185237,55668,1,1,8,Offer E,1,48.85,1,1,Fiber Optic,17,0,1,0,0,0,0,0,1,Month-to-Month,1,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,1,69,5302,Competitor,Competitor made better offer,0
1,71,0,1,3,Los Angeles,34.108833,-118.229715,47534,0,0,18,Offer D,1,11.33,1,1,Fiber Optic,52,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,1,81,3179,Competitor,Competitor made better offer,0
0,78,1,1,1,Inglewood,33.936291,-118.332639,27778,1,1,25,Offer C,1,19.76,0,1,Fiber Optic,12,0,1,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,88,5337,Dissatisfaction,Limited range of services,0
0,80,1,1,1,Whittier,33.972119,-118.020188,26265,1,1,37,Offer C,1,6.33,1,1,Fiber Optic,14,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,1,67,2793,Price,Extra data charges,0
0,72,0,1,1,Pico Rivera,33.989524,-118.089299,63288,0,0,27,Offer C,1,3.33,1,1,Fiber Optic,18,0,0,1,0,0,0,0,0,Month-to-Month,1,Bank Withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,1,95,4638,Competitor,Competitor had better devices,0
0,76,1,1,2,Los Alamitos,33.79499,-118.065591,21343,1,1,1,Offer E,1,15.28,0,1,Fiber Optic,30,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,70.45,70.45,0.0,0,15.28,85.73,2,1,76,3964,Other,Don't know,0
1,66,1,0,0,Sierra Madre,34.168686,-118.057505,10558,1,6,58,Offer B,0,0.0,0,1,DSL,24,0,1,1,0,0,1,0,1,Month-to-Month,1,Bank Withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,1,91,5444,Dissatisfaction,Service dissatisfaction,0
0,70,0,1,2,Pasadena,34.139402,-118.128658,23742,0,0,15,Offer D,1,44.07,1,1,Fiber Optic,19,0,0,0,0,0,0,0,1,Month-to-Month,1,Mailed Check,74.45,1145.7,0.0,0,661.05,1806.75,2,1,91,5717,Dissatisfaction,Limited range of services,0
0,77,0,1,2,Pasadena,34.159007,-118.087353,32369,0,0,7,Offer E,1,26.95,0,1,Fiber Optic,18,1,0,0,0,0,0,0,0,Month-to-Month,0,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,1,81,4419,Price,Lack of affordable download/upload speed,0
0,78,0,1,1,North Hollywood,34.207295,-118.400022,57146,0,0,11,Offer D,1,11.59,0,1,Fiber Optic,29,0,1,0,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,1367.79,1,1,85,5980,Dissatisfaction,Product dissatisfaction,0
1,65,0,0,0,Covina,34.097345,-117.906736,33817,0,0,15,Offer D,1,29.11,0,1,Fiber Optic,29,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,1,86,4616,Competitor,Competitor had better devices,0
1,77,1,0,0,El Monte,34.074492,-118.01462,62660,1,1,1,Offer E,0,0.0,0,1,DSL,12,0,1,0,0,1,0,0,1,Month-to-Month,0,Bank Withdrawal,40.2,40.2,0.0,0,0.0,40.2,2,1,65,5828,Dissatisfaction,Limited range of services,0
1,67,0,0,0,La Puente,34.038983,-117.991372,30802,0,0,3,Offer E,0,0.0,0,1,DSL,28,0,0,1,0,0,1,1,1,Month-to-Month,1,Bank Withdrawal,41.15,132.2,0.0,0,0.0,132.2,2,1,96,2314,Price,Long distance charges,0
1,68,0,0,0,Rowland Heights,33.976753,-117.897367,46342,0,0,13,Offer D,1,32.68,1,1,Cable,11,0,1,1,0,1,1,0,0,Month-to-Month,1,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,1799.14,1,1,84,2494,Competitor,Competitor had better devices,0
0,68,0,0,0,Ontario,34.074087,-117.605618,49474,0,0,16,Offer D,1,9.43,0,1,Fiber Optic,9,0,0,0,1,1,1,1,1,Month-to-Month,1,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,1,1,81,3810,Competitor,Competitor had better devices,0
1,66,0,0,0,Alpine,32.827184,-116.703729,16486,0,0,8,,1,1.78,0,1,Fiber Optic,7,0,1,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.5,606.55,0.0,0,14.24,620.79,2,1,80,4345,Dissatisfaction,Poor expertise of online support,0
1,69,0,0,0,San Diego,32.85723,-117.209774,34902,0,0,24,Offer C,1,30.87,1,1,Fiber Optic,15,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2,1,91,2018,Competitor,Competitor made better offer,0
0,74,0,0,0,San Diego,32.85723,-117.209774,34902,0,0,4,Offer E,1,31.61,1,1,Fiber Optic,2,0,0,0,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,3,1,85,3677,Competitor,Competitor made better offer,0
1,76,1,0,0,San Diego,32.85723,-117.209774,34902,1,2,32,Offer C,1,47.34,1,1,Fiber Optic,10,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,2,1,69,4105,Attitude,Attitude of support person,0
1,77,1,0,0,San Diego,32.85723,-117.209774,34902,1,1,24,Offer C,1,16.1,0,1,Cable,12,0,0,1,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2,1,73,2212,Competitor,Competitor made better offer,0
