gender,age,married,number_of_dependents,latitude,longitude,number_of_referrals,phone_service,multiple_lines,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,unlimited_data,paperless_billing,total_refunds,total_extra_data_charges,total_long_distance_charges,satisfaction_score,churn,cltv,corr_total_charges,contract_one_year,contract_two_year,payment_method_credit_card,payment_method_mailed_check,offer_offer_b,offer_offer_c,offer_offer_d,offer_offer_e,offer_nan,internet_type_dsl,internet_type_fiber_optic,internet_type_nan,streaming_music_or_movies
1,78,0,0,34.02381,-118.156582,0,0,0,8,0,0,1,0,0,0,1,0.0,0.5044136191677175,0.0,3,1,5433,19.825,0,0,0,0,0,0,0,0,1,1,0,0,1
0,74,1,1,34.044271,-118.185237,1,1,1,17,0,1,0,0,0,1,1,0.0,0.0,0.6170851097426181,3,1,5302,126.66,0,0,1,0,0,0,0,1,0,0,1,0,0
1,71,0,3,34.108833,-118.229715,0,1,1,52,0,0,0,0,1,1,1,0.026024935094576474,0.0,0.11636757867107929,2,1,3179,438.1375,0,0,0,0,0,0,1,0,0,0,1,0,1
0,78,1,1,33.936291,-118.332639,1,1,0,12,0,1,1,0,1,1,1,0.0053410220719825015,0.0,0.1964605289321933,2,1,5337,502.9,0,0,0,0,0,1,0,0,0,0,1,0,1
0,80,1,1,33.972119,-118.020188,1,1,1,14,0,0,0,0,0,1,1,0.0,0.0,0.0816589090528738,2,1,2793,717.0375,0,0,0,0,0,1,0,0,0,0,1,0,0
0,72,0,1,33.989524,-118.089299,0,1,1,18,0,0,1,0,0,0,1,0.0,0.004682744088035589,0.042102552095527976,1,1,4638,533.875,0,0,0,0,0,1,0,0,0,0,1,0,0
0,76,1,2,33.79499,-118.065591,1,1,0,30,0,0,0,0,0,1,1,0.0,0.0,0.2168914123491838,2,1,3964,23.483333333333334,0,0,0,1,0,0,0,1,0,0,1,0,0
1,66,1,0,34.168686,-118.057505,6,0,0,24,0,1,1,0,0,1,1,0.015445835847917927,0.0,0.0,1,1,5444,662.8,0,0,0,0,1,0,0,0,0,1,0,0,1
0,70,0,2,34.139402,-118.128658,0,1,1,19,0,0,0,0,0,1,1,0.0,0.0,0.5769835035349568,2,1,5717,286.425,0,0,0,1,0,0,1,0,0,0,1,0,0
0,77,0,2,34.159007,-118.087353,0,1,0,18,1,0,0,0,0,0,0,0.021942017474185862,0.0,0.3746028594122319,2,1,4419,167.86666666666667,0,0,0,0,0,0,0,1,0,0,1,0,0
0,78,0,1,34.207295,-118.400022,0,1,0,29,0,1,0,0,1,0,1,0.0,0.10711416584843346,0.11379987503347318,1,1,5980,373.43333333333334,0,0,0,0,0,0,1,0,0,0,1,0,1
1,65,0,0,34.097345,-117.906736,0,1,0,29,0,1,0,0,0,1,1,0.0,0.0,0.4064507120915945,1,1,4616,268.575,0,0,0,0,0,0,1,0,0,0,1,0,0
1,77,1,0,34.074492,-118.01462,1,0,0,12,0,1,0,0,1,1,0,0.0,0.0,0.0,2,1,5828,13.4,0,0,0,0,0,0,0,1,0,1,0,0,0
1,67,0,0,34.038983,-117.991372,0,0,0,28,0,0,1,0,0,1,1,0.0,0.0,0.0,2,1,2314,44.06666666666666,0,0,0,0,0,0,0,1,0,1,0,0,1
1,68,0,0,33.976753,-117.897367,0,1,1,11,0,1,1,0,1,0,1,0.0,0.007329766180458844,0.3113977864106135,1,1,2494,272.86,0,0,0,0,0,0,1,0,0,0,0,0,1
0,68,0,0,34.074087,-117.605618,0,1,0,9,0,0,0,1,1,1,1,0.0,0.0,0.09984118581259925,1,1,3810,377.8,0,0,0,0,0,0,1,0,0,0,1,0,1
